Name,Description,Price1,Price2,Image
Pepino,Pepino Ensalada Unidad,$550,$ Precio x Un : $550,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328716a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Escarola Unidad,$790,$ Precio x Un : $790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3791a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Tomates,Tomates Quillota Malla,$1.250,$ Precio x Kg : $1.250,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/325702a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Peras,Peras Packams Granel,$1.390,Precio x Kg:$1.390,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/326856a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Champiñones,Champiñones Bandeja,$2.090,$ Precio x Kg : $5.225,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/331080a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Naranjas,Naranjas Malla,$3.990,$ Precio x Kg : $1.330,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328918a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Zapallo,Zapallo Camote Bolsa,$1.290,$ Precio x Un : $1.290,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3755a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Manzanas,Manzana Verde Granel,$1.790,Precio x Kg:$1.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/829876a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Limones,Limones Granel,$1.350,Precio x Kg:$1.350,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/476644a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Naranjas,Naranjas Granel,$1.690,Precio x Kg:$1.690,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/330990a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Clementinas,Clementinas Malla,$2.190,$ Precio x Kg : $2.190,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/328168a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Piña,Piña Calibre 6 Unidad,$1.790,$ Precio x Un : $1.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/425315a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Frutillas,Frutillas Pote,$2.590,$ Precio x Kg : $5.180,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3663a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Pimiento,Pimiento Verde Unidad,$590,$ Precio x Un : $590,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/4553a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Ajo,Ajo Malla,$1.090,$ Precio x Un : $363,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/12260a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Papas,Papas Granel,$1.190,Precio x Kg:$1.190,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/275980a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Papas,Papas Soufflé Malla,$1.890,$ Precio x Kg : $945,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/323498a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Apio,Apio Bolsa,$1.050,$ Precio x Un : $1.050,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/6743a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Acelga,Acelga Bolsa,$850,$ Precio x Un : $850,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/326172a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Naranjas,Naranjas Sofruco Malla,$5.390,$ Precio x Kg : $1.797,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/844871a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lechuga,Lechuga Escarola Bandeja,$1.390,$ Precio x Un : $695,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/3793a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cilantro,Cilantro Bolsa,$620,$ Precio x Kg : $5.167,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/323766a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Espárragos,Espárragos Bolsa,$2.390,$ Precio x Un : $2.390,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/541546a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kiwi,Kiwi Granel,$2.790,Precio x Kg:$2.790,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/859672a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
